,Year,Race,Sex,Execution Method
0,1977,1,1,4
1,1979,1,1,2
2,1979,1,1,3
3,1981,1,1,2
4,1982,1,1,2
5,1982,2,1,5
6,1983,1,1,2
7,1983,1,1,3
8,1983,1,1,2
9,1983,2,1,2
10,1983,1,1,2
11,1984,1,1,2
12,1984,2,1,2
13,1984,1,1,5
14,1984,1,1,5
15,1984,1,1,5
16,1984,1,1,2
17,1984,1,1,2
18,1984,2,1,2
19,1984,1,1,2
20,1984,2,1,2
21,1984,2,1,2
22,1984,1,1,2
23,1984,1,1,2
24,1984,2,1,2
25,1984,2,1,2
26,1984,2,1,2
27,1984,1,1,5
28,1984,1,2,5
29,1984,1,1,2
30,1984,2,1,2
31,1984,1,1,2
32,1985,1,1,2
33,1985,2,1,2
34,1985,1,1,2
35,1985,1,1,5
36,1985,1,1,2
37,1985,2,1,2
38,1985,1,1,2
39,1985,1,1,5
40,1985,2,1,2
41,1985,2,1,2
42,1985,5,1,5
43,1985,2,1,2
44,1985,2,1,5
45,1985,2,1,2
46,1985,5,1,5
47,1985,1,1,5
48,1985,1,1,2
49,1985,1,1,5
50,1986,1,1,2
51,1986,1,1,5
52,1986,2,1,2
53,1986,2,1,2
54,1986,1,1,5
55,1986,2,1,2
56,1986,1,1,5
57,1986,1,1,2
58,1986,5,1,5
59,1986,1,1,5
60,1986,2,1,2
61,1986,2,1,2
62,1986,1,1,5
63,1986,2,1,5
64,1986,1,1,5
65,1986,1,1,5
66,1986,2,1,5
67,1986,5,1,5
68,1987,5,1,5
69,1987,5,1,5
70,1987,2,1,2
71,1987,2,1,3
72,1987,2,1,2
73,1987,2,1,5
74,1987,1,1,2
75,1987,1,1,2
76,1987,2,1,2
77,1987,1,1,2
78,1987,1,1,2
79,1987,2,1,5
80,1987,1,1,2
81,1987,1,1,5
82,1987,2,1,3
83,1987,2,1,2
84,1987,2,1,2
85,1987,1,1,2
86,1987,1,1,2
87,1987,2,1,2
88,1987,1,1,2
89,1987,2,1,5
90,1987,2,1,2
91,1987,1,1,5
92,1987,1,1,2
93,1988,1,1,5
94,1988,2,1,2
95,1988,1,1,2
96,1988,2,1,2
97,1988,2,1,2
98,1988,1,1,5
99,1988,1,1,2
100,1988,1,1,2
101,1988,2,1,5
102,1988,1,1,2
103,1988,2,1,5
104,1989,1,1,5
105,1989,1,1,2
106,1989,2,1,5
107,1989,1,1,2
108,1989,2,1,2
109,1989,1,1,5
110,1989,2,1,2
111,1989,1,1,5
112,1989,2,1,3
113,1989,1,1,5
114,1989,2,1,2
115,1989,2,1,2
116,1989,2,1,2
117,1989,1,1,5
118,1989,2,1,2
119,1989,5,1,5
120,1990,1,1,5
121,1990,2,1,5
122,1990,1,1,2
123,1990,1,1,2
124,1990,2,1,5
125,1990,1,1,5
126,1990,1,1,5
127,1990,2,1,2
128,1990,1,1,5
129,1990,1,1,2
130,1990,1,1,5
131,1990,2,1,5
132,1990,2,1,2
133,1990,1,1,5
134,1990,1,1,2
135,1990,2,1,2
136,1990,1,1,5
137,1990,1,1,5
138,1990,1,1,5
139,1990,1,1,2
140,1990,2,1,2
141,1990,1,1,2
142,1990,1,1,2
143,1991,2,1,5
144,1991,1,1,2
145,1991,5,1,5
146,1991,1,1,5
147,1991,2,1,2
148,1991,2,1,2
149,1991,1,1,2
150,1991,2,1,2
151,1991,2,1,5
152,1991,1,1,2
153,1991,2,1,5
154,1991,2,1,2
155,1991,1,1,5
156,1991,1,1,5
157,1992,1,1,5
158,1992,5,1,5
159,1992,2,1,5
160,1992,1,1,5
161,1992,1,1,5
162,1992,1,1,5
163,1992,2,1,5
164,1992,1,1,5
165,1992,1,1,5
166,1992,1,1,2
167,1992,1,1,3
168,1992,1,1,3
169,1992,2,1,5
170,1992,1,1,5
171,1992,1,1,5
172,1992,1,1,2
173,1992,5,1,5
174,1992,1,1,2
175,1992,1,1,5
176,1992,2,1,2
177,1992,1,1,2
178,1992,2,1,5
179,1992,2,1,5
180,1992,2,1,2
181,1992,2,1,5
182,1992,1,1,5
183,1992,1,1,5
184,1992,2,1,5
185,1992,2,1,2
186,1992,2,1,5
187,1992,1,1,2
188,1993,1,1,1
189,1993,2,1,2
190,1993,2,1,5
191,1993,1,1,5
192,1993,3,1,5
193,1993,1,1,5
194,1993,2,1,2
195,1993,5,1,5
196,1993,5,1,5
197,1993,1,1,5
198,1993,1,1,2
199,1993,2,1,5
200,1993,1,1,2
201,1993,5,1,5
202,1993,1,1,5
203,1993,1,1,2
204,1993,1,1,2
205,1993,1,1,5
206,1993,2,1,5
207,1993,2,1,5
208,1993,2,1,5
209,1993,2,1,5
210,1993,1,1,5
211,1993,1,1,5
212,1993,2,1,5
213,1993,5,1,5
214,1993,1,1,3
215,1993,1,1,2
216,1993,2,1,5
217,1993,2,1,5
218,1993,1,1,5
219,1993,2,1,2
220,1993,2,1,5
221,1993,1,1,5
222,1993,1,1,5
223,1993,1,1,2
224,1993,2,1,5
