,Year,Race,Sex,Execution Method
0,1977,White,Male,Firing Squad
1,1979,White,Male,Electrocution
2,1979,White,Male,Gas
3,1981,White,Male,Electrocution
4,1982,White,Male,Electrocution
5,1982,Black,Male,Lethal Injection
6,1983,White,Male,Electrocution
7,1983,White,Male,Gas
8,1983,White,Male,Electrocution
9,1983,Black,Male,Electrocution
10,1983,White,Male,Electrocution
11,1984,White,Male,Electrocution
12,1984,Black,Male,Electrocution
13,1984,White,Male,Lethal Injection
14,1984,White,Male,Lethal Injection
15,1984,White,Male,Lethal Injection
16,1984,White,Male,Electrocution
17,1984,White,Male,Electrocution
18,1984,Black,Male,Electrocution
19,1984,White,Male,Electrocution
20,1984,Black,Male,Electrocution
21,1984,Black,Male,Electrocution
22,1984,White,Male,Electrocution
23,1984,White,Male,Electrocution
24,1984,Black,Male,Electrocution
25,1984,Black,Male,Electrocution
26,1984,Black,Male,Electrocution
27,1984,White,Male,Lethal Injection
28,1984,White,Female,Lethal Injection
29,1984,White,Male,Electrocution
30,1984,Black,Male,Electrocution
31,1984,White,Male,Electrocution
32,1985,White,Male,Electrocution
33,1985,Black,Male,Electrocution
34,1985,White,Male,Electrocution
35,1985,White,Male,Lethal Injection
36,1985,White,Male,Electrocution
37,1985,Black,Male,Electrocution
38,1985,White,Male,Electrocution
39,1985,White,Male,Lethal Injection
40,1985,Black,Male,Electrocution
41,1985,Black,Male,Electrocution
42,1985,Latino,Male,Lethal Injection
43,1985,Black,Male,Electrocution
44,1985,Black,Male,Lethal Injection
45,1985,Black,Male,Electrocution
46,1985,Latino,Male,Lethal Injection
47,1985,White,Male,Lethal Injection
48,1985,White,Male,Electrocution
49,1985,White,Male,Lethal Injection
50,1986,White,Male,Electrocution
51,1986,White,Male,Lethal Injection
52,1986,Black,Male,Electrocution
53,1986,Black,Male,Electrocution
54,1986,White,Male,Lethal Injection
55,1986,Black,Male,Electrocution
56,1986,White,Male,Lethal Injection
57,1986,White,Male,Electrocution
58,1986,Latino,Male,Lethal Injection
59,1986,White,Male,Lethal Injection
60,1986,Black,Male,Electrocution
61,1986,Black,Male,Electrocution
62,1986,White,Male,Lethal Injection
63,1986,Black,Male,Lethal Injection
64,1986,White,Male,Lethal Injection
65,1986,White,Male,Lethal Injection
66,1986,Black,Male,Lethal Injection
67,1986,Latino,Male,Lethal Injection
68,1987,Latino,Male,Lethal Injection
69,1987,Latino,Male,Lethal Injection
70,1987,Black,Male,Electrocution
71,1987,Black,Male,Gas
72,1987,Black,Male,Electrocution
73,1987,Black,Male,Lethal Injection
74,1987,White,Male,Electrocution
75,1987,White,Male,Electrocution
76,1987,Black,Male,Electrocution
77,1987,White,Male,Electrocution
78,1987,White,Male,Electrocution
79,1987,Black,Male,Lethal Injection
80,1987,White,Male,Electrocution
81,1987,White,Male,Lethal Injection
82,1987,Black,Male,Gas
83,1987,Black,Male,Electrocution
84,1987,Black,Male,Electrocution
85,1987,White,Male,Electrocution
86,1987,White,Male,Electrocution
87,1987,Black,Male,Electrocution
88,1987,White,Male,Electrocution
89,1987,Black,Male,Lethal Injection
90,1987,Black,Male,Electrocution
91,1987,White,Male,Lethal Injection
92,1987,White,Male,Electrocution
93,1988,White,Male,Lethal Injection
