,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
0,White,Firing Squad,Utah,Male,1977,01,17,1
1,White,Electrocution,Florida,Male,1979,05,25,1
2,White,Gas,Nevada,Male,1979,10,22,1
3,White,Electrocution,Indiana,Male,1981,03,09,1
4,White,Electrocution,Virginia,Male,1982,08,10,1
5,Black,Lethal Injection,Texas,Male,1982,12,07,1
6,White,Electrocution,Alabama,Male,1983,04,22,1
7,White,Gas,Mississippi,Male,1983,09,02,1
8,White,Electrocution,Florida,Male,1983,11,30,1
9,Black,Electrocution,Louisiana,Male,1983,12,14,1
10,White,Electrocution,Georgia,Male,1983,12,15,1
11,White,Electrocution,Florida,Male,1984,01,26,1
12,Black,Electrocution,Louisiana,Male,1984,02,29,1
13,White,Lethal Injection,Texas,Male,1984,03,14,1
14,White,Lethal Injection,North Carolina,Male,1984,03,16,1
15,White,Lethal Injection,Texas,Male,1984,03,31,1
16,White,Electrocution,Louisiana,Male,1984,04,05,1
17,White,Electrocution,Florida,Male,1984,04,05,1
18,Black,Electrocution,Florida,Male,1984,05,10,1
19,White,Electrocution,Florida,Male,1984,06,20,1
20,Black,Electrocution,Georgia,Male,1984,07,12,1
21,Black,Electrocution,Florida,Male,1984,07,13,1
22,White,Electrocution,Florida,Male,1984,09,07,1
23,White,Electrocution,Louisiana,Male,1984,09,10,1
24,Black,Electrocution,Florida,Male,1984,09,20,1
25,Black,Electrocution,Virginia,Male,1984,10,12,1
26,Black,Electrocution,Louisiana,Male,1984,10,30,1
27,White,Lethal Injection,Texas,Male,1984,10,30,1
28,White,Lethal Injection,North Carolina,Female,1984,11,02,1
29,White,Electrocution,Florida,Male,1984,11,08,1
30,Black,Electrocution,Georgia,Male,1984,12,12,1
31,White,Electrocution,Louisiana,Male,1984,12,28,1
32,White,Electrocution,Louisiana,Male,1985,01,04,1
33,Black,Electrocution,Georgia,Male,1985,01,09,1
34,White,Electrocution,South Carolina,Male,1985,01,11,1
35,White,Lethal Injection,Texas,Male,1985,01,16,1
36,White,Electrocution,Florida,Male,1985,01,30,1
37,Black,Electrocution,Georgia,Male,1985,02,20,1
38,White,Electrocution,Florida,Male,1985,03,06,1
39,White,Lethal Injection,Texas,Male,1985,03,13,1
40,Black,Electrocution,Georgia,Male,1985,03,20,1
41,Black,Electrocution,Virginia,Male,1985,04,18,1
42,Latino,Lethal Injection,Texas,Male,1985,05,15,1
43,Black,Electrocution,Florida,Male,1985,05,29,1
44,Black,Lethal Injection,Texas,Male,1985,06,25,1
45,Black,Electrocution,Virginia,Male,1985,06,25,1
46,Latino,Lethal Injection,Texas,Male,1985,07,09,1
47,White,Lethal Injection,Texas,Male,1985,09,11,1
48,White,Electrocution,Indiana,Male,1985,10,16,1
49,White,Lethal Injection,Nevada,Male,1985,12,06,1
50,White,Electrocution,South Carolina,Male,1986,01,10,1
51,White,Lethal Injection,Texas,Male,1986,03,12,1
52,Black,Electrocution,Alabama,Male,1986,03,21,1
53,Black,Electrocution,Florida,Male,1986,04,15,1
54,White,Lethal Injection,Texas,Male,1986,04,16,1
55,Black,Electrocution,Florida,Male,1986,04,22,1
56,White,Lethal Injection,Texas,Male,1986,05,15,1
57,White,Electrocution,Florida,Male,1986,05,20,1
58,Latino,Lethal Injection,Texas,Male,1986,06,09,1
59,White,Lethal Injection,Texas,Male,1986,06,19,1
60,Black,Electrocution,Georgia,Male,1986,06,24,1
61,Black,Electrocution,Virginia,Male,1986,07,31,1
62,White,Lethal Injection,Texas,Male,1986,08,20,1
63,Black,Lethal Injection,Texas,Male,1986,08,22,1
64,White,Lethal Injection,Texas,Male,1986,08,26,1
65,White,Lethal Injection,North Carolina,Male,1986,09,19,1
66,Black,Lethal Injection,Texas,Male,1986,12,04,1
67,Latino,Lethal Injection,Texas,Male,1986,12,18,1
68,Latino,Lethal Injection,Texas,Male,1987,01,30,1
69,Latino,Lethal Injection,Texas,Male,1987,03,04,1
70,Black,Electrocution,Georgia,Male,1987,05,15,1
71,Black,Gas,Mississippi,Male,1987,05,20,1
72,Black,Electrocution,Georgia,Male,1987,05,22,1
73,Black,Lethal Injection,Texas,Male,1987,05,28,1
74,White,Electrocution,Georgia,Male,1987,05,29,1
75,White,Electrocution,Louisiana,Male,1987,06,07,1
76,Black,Electrocution,Louisiana,Male,1987,06,09,1
77,White,Electrocution,Louisiana,Male,1987,06,12,1
78,White,Electrocution,Louisiana,Male,1987,06,16,1
79,Black,Lethal Injection,Texas,Male,1987,06,24,1
80,White,Electrocution,Virginia,Male,1987,07,06,1
81,White,Lethal Injection,Texas,Male,1987,07,08,1
82,Black,Gas,Mississippi,Male,1987,07,08,1
83,Black,Electrocution,Louisiana,Male,1987,07,20,1
84,Black,Electrocution,Louisiana,Male,1987,07,24,1
85,White,Electrocution,Louisiana,Male,1987,07,30,1
86,White,Electrocution,Louisiana,Male,1987,08,24,1
87,Black,Electrocution,Florida,Male,1987,08,28,1
88,White,Electrocution,Alabama,Male,1987,08,28,1
89,Black,Lethal Injection,Utah,Male,1987,08,28,1
90,Black,Electrocution,Georgia,Male,1987,09,01,1
91,White,Lethal Injection,Texas,Male,1987,09,10,1
92,White,Electrocution,Georgia,Male,1987,09,21,1
93,White,Lethal Injection,Texas,Male,1988,01,07,1
94,Black,Electrocution,Florida,Male,1988,03,15,1
95,White,Electrocution,Louisiana,Male,1988,03,15,1
96,Black,Electrocution,Louisiana,Male,1988,04,13,1
97,Black,Electrocution,Virginia,Male,1988,04,14,1
98,White,Lethal Injection,Utah,Male,1988,06,10,1
99,White,Electrocution,Louisiana,Male,1988,06,14,1
100,White,Electrocution,Georgia,Male,1988,07,28,1
101,Black,Lethal Injection,Texas,Male,1988,11,03,1
102,White,Electrocution,Florida,Male,1988,11,07,1
103,Black,Lethal Injection,Texas,Male,1988,12,13,1
104,White,Lethal Injection,Missouri,Male,1989,01,06,1
105,White,Electrocution,Florida,Male,1989,01,24,1
106,Black,Lethal Injection,Texas,Male,1989,03,22,1
107,White,Electrocution,Florida,Male,1989,05,04,1
108,Black,Electrocution,Georgia,Male,1989,05,18,1
109,White,Lethal Injection,Texas,Male,1989,05,24,1
110,Black,Electrocution,Alabama,Male,1989,05,26,1
111,White,Lethal Injection,Nevada,Male,1989,06,19,1
112,Black,Gas,Mississippi,Male,1989,06,21,1
113,White,Lethal Injection,Nevada,Male,1989,06,23,1
114,Black,Electrocution,Alabama,Male,1989,07,14,1
115,Black,Electrocution,Alabama,Male,1989,08,18,1
116,Black,Electrocution,Virginia,Male,1989,08,30,1
117,White,Lethal Injection,Texas,Male,1989,09,20,1
118,Black,Electrocution,Alabama,Male,1989,11,17,1
119,Latino,Lethal Injection,Texas,Male,1989,12,07,1
120,White,Lethal Injection,Missouri,Male,1990,01,18,1
121,Black,Lethal Injection,Texas,Male,1990,04,21,1
122,White,Electrocution,South Carolina,Male,1990,04,27,1
123,White,Electrocution,Florida,Male,1990,05,04,1
124,Black,Lethal Injection,Missouri,Male,1990,05,11,1
125,White,Lethal Injection,Missouri,Male,1990,05,17,1
126,White,Lethal Injection,Texas,Male,1990,05,17,1
127,Black,Electrocution,Louisiana,Male,1990,05,18,1
128,White,Lethal Injection,Nevada,Male,1990,06,03,1
129,White,Electrocution,Arkansas,Male,1990,06,18,1
130,White,Lethal Injection,Arkansas,Male,1990,06,25,1
131,Black,Lethal Injection,Texas,Male,1990,06,26,1
132,Black,Electrocution,Alabama,Male,1990,07,13,1
133,White,Lethal Injection,Texas,Male,1990,07,18,1
134,White,Electrocution,Virginia,Male,1990,07,19,1
135,Black,Electrocution,Florida,Male,1990,07,27,1
136,White,Lethal Injection,Missouri,Male,1990,08,31,1
137,White,Lethal Injection,Oklahoma,Male,1990,09,10,1
138,White,Lethal Injection,Illinois,Male,1990,09,12,1
139,White,Electrocution,Florida,Male,1990,09,21,1
140,Black,Electrocution,Virginia,Male,1990,10,17,1
141,White,Electrocution,Florida,Male,1990,11,19,1
142,White,Electrocution,Virginia,Male,1990,12,13,1
143,Black,Lethal Injection,Texas,Male,1991,02,26,1
144,White,Electrocution,Florida,Male,1991,04,24,1
145,Latino,Lethal Injection,Texas,Male,1991,05,23,1
146,White,Lethal Injection,Texas,Male,1991,06,17,1
147,Black,Electrocution,Florida,Male,1991,06,25,1
148,Black,Electrocution,Louisiana,Male,1991,07,22,1
149,White,Electrocution,Virginia,Male,1991,07,24,1
150,Black,Electrocution,Virginia,Male,1991,08,22,1
151,Black,Lethal Injection,Missouri,Male,1991,08,23,1
152,White,Electrocution,South Carolina,Male,1991,09,06,1
153,Black,Lethal Injection,Texas,Male,1991,09,19,1
154,Black,Electrocution,Georgia,Male,1991,09,25,1
155,White,Lethal Injection,North Carolina,Male,1991,10,18,1
156,White,Lethal Injection,Texas,Male,1991,11,12,1
157,White,Lethal Injection,Wyoming,Male,1992,01,22,1
158,Latino,Lethal Injection,Texas,Male,1992,01,22,1
159,Black,Lethal Injection,Arkansas,Male,1992,01,24,1
160,White,Lethal Injection,Texas,Male,1992,02,11,1
161,White,Lethal Injection,Texas,Male,1992,02,28,1
162,White,Lethal Injection,Texas,Male,1992,03,03,1
163,Black,Lethal Injection,Oklahoma,Male,1992,03,10,1
164,White,Lethal Injection,Oklahoma,Male,1992,03,13,1
165,White,Lethal Injection,Delaware,Male,1992,03,14,1
166,White,Electrocution,Alabama,Male,1992,03,20,1
167,White,Gas,Arizona,Male,1992,04,06,1
168,White,Gas,California,Male,1992,04,21,1
169,Black,Lethal Injection,Texas,Male,1992,04,23,1
170,White,Lethal Injection,Texas,Male,1992,05,07,1
171,White,Lethal Injection,Arkansas,Male,1992,05,07,1
172,White,Electrocution,Florida,Male,1992,05,12,1
173,Latino,Lethal Injection,Texas,Male,1992,05,20,1
174,White,Electrocution,Virginia,Male,1992,05,20,1
175,White,Lethal Injection,Texas,Male,1992,05,22,1
176,Black,Electrocution,Florida,Male,1992,07,21,1
177,White,Electrocution,Virginia,Male,1992,07,23,1
178,Black,Lethal Injection,Utah,Male,1992,07,30,1
179,Black,Lethal Injection,Texas,Male,1992,08,11,1
180,Black,Electrocution,Virginia,Male,1992,09,15,1
181,Black,Lethal Injection,Texas,Male,1992,09,22,1
182,White,Lethal Injection,Missouri,Male,1992,10,21,1
183,White,Lethal Injection,North Carolina,Male,1992,10,23,1
184,Black,Lethal Injection,Texas,Male,1992,11,19,1
185,Black,Electrocution,Alabama,Male,1992,11,20,1
186,Black,Lethal Injection,Texas,Male,1992,12,10,1
187,White,Electrocution,Virginia,Male,1992,12,10,1
188,White,Hanging,Washington,Male,1993,01,05,1
189,Black,Electrocution,Virginia,Male,1993,01,19,1
190,Black,Lethal Injection,Missouri,Male,1993,01,27,1
191,White,Lethal Injection,Arizona,Male,1993,03,03,1
192,Native American,Lethal Injection,Delaware,Male,1993,03,03,1
193,White,Lethal Injection,Louisiana,Male,1993,03,05,1
194,Black,Electrocution,Virginia,Male,1993,03,18,1
195,Latino,Lethal Injection,Texas,Male,1993,03,23,1
196,Latino,Lethal Injection,Texas,Male,1993,03,25,1
197,White,Lethal Injection,Arizona,Male,1993,04,14,1
198,White,Electrocution,Florida,Male,1993,04,21,1
199,Black,Lethal Injection,Texas,Male,1993,05,04,1
200,White,Electrocution,Florida,Male,1993,05,05,1
201,Latino,Lethal Injection,Texas,Male,1993,05,12,1
202,White,Lethal Injection,Texas,Male,1993,05,18,1
203,White,Electrocution,Virginia,Male,1993,06,17,1
204,White,Electrocution,Georgia,Male,1993,06,28,1
205,White,Lethal Injection,Texas,Male,1993,06,29,1
206,Black,Lethal Injection,Texas,Male,1993,07,01,1
207,Black,Lethal Injection,Missouri,Male,1993,07,21,1
208,Black,Lethal Injection,Missouri,Male,1993,07,28,1
209,Black,Lethal Injection,Texas,Male,1993,07,30,1
210,White,Lethal Injection,Texas,Male,1993,08,05,1
211,White,Lethal Injection,Texas,Male,1993,08,12,1
212,Black,Lethal Injection,Texas,Male,1993,08,20,1
213,Latino,Lethal Injection,Texas,Male,1993,08,24,1
214,White,Gas,California,Male,1993,08,24,1
215,White,Electrocution,Florida,Male,1993,08,25,1
216,Black,Lethal Injection,Texas,Male,1993,08,31,1
217,Black,Lethal Injection,Delaware,Male,1993,08,31,1
218,White,Lethal Injection,Texas,Male,1993,09,03,1
219,Black,Electrocution,Virginia,Male,1993,09,14,1
220,Black,Lethal Injection,Texas,Male,1993,09,28,1
221,White,Lethal Injection,Missouri,Male,1993,10,06,1
222,White,Lethal Injection,Texas,Male,1993,11,10,1
223,White,Electrocution,Georgia,Male,1993,12,07,1
224,Black,Lethal Injection,Texas,Male,1993,12,15,1
225,White,Electrocution,Virginia,Male,1993,12,16,1
226,White,Lethal Injection,Idaho,Male,1994,01,06,1
227,White,Lethal Injection,Texas,Male,1994,02,02,1
228,Black,Electrocution,Virginia,Male,1994,03,03,1
229,Black,Lethal Injection,Texas,Male,1994,03,31,1
230,Black,Electrocution,Georgia,Male,1994,03,31,1
231,White,Lethal Injection,Texas,Male,1994,04,04,1
232,White,Electrocution,Florida,Male,1994,04,22,1
233,White,Lethal Injection,Texas,Male,1994,04,26,1
234,Black,Electrocution,Virginia,Male,1994,04,27,1
235,Black,Lethal Injection,Texas,Male,1994,05,03,1
236,White,Lethal Injection,Illinois,Male,1994,05,10,1
237,Black,Lethal Injection,Arkansas,Male,1994,05,11,1
238,White,Lethal Injection,Arkansas,Male,1994,05,11,1
239,White,Lethal Injection,Maryland,Male,1994,05,17,1
240,White,Lethal Injection,Texas,Male,1994,05,27,1
241,White,Hanging,Washington,Male,1994,05,27,1
242,White,Lethal Injection,Texas,Male,1994,06,14,1
243,White,Gas,North Carolina,Male,1994,06,15,1
244,Black,Lethal Injection,Delaware,Male,1994,06,23,1
245,White,Lethal Injection,Texas,Male,1994,08,02,1
246,White,Lethal Injection,Arkansas,Male,1994,08,03,1
247,White,Lethal Injection,Arkansas,Male,1994,08,03,1
248,White,Lethal Injection,Arkansas,Male,1994,08,03,1
249,Black,Electrocution,Nebraska,Male,1994,09,02,1
