,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
0,1,4,49,1,1977,01,17,1
1,1,2,12,1,1979,05,25,1
2,1,3,32,1,1979,10,22,1
3,1,2,18,1,1981,03,09,1
4,1,2,51,1,1982,08,10,1
5,2,5,48,1,1982,12,07,1
6,1,2,1,1,1983,04,22,1
7,1,3,28,1,1983,09,02,1
8,1,2,12,1,1983,11,30,1
9,2,2,22,1,1983,12,14,1
10,1,2,13,1,1983,12,15,1
11,1,2,12,1,1984,01,26,1
12,2,2,22,1,1984,02,29,1
13,1,5,48,1,1984,03,14,1
14,1,5,37,1,1984,03,16,1
15,1,5,48,1,1984,03,31,1
16,1,2,22,1,1984,04,05,1
17,1,2,12,1,1984,04,05,1
18,2,2,12,1,1984,05,10,1
19,1,2,12,1,1984,06,20,1
20,2,2,13,1,1984,07,12,1
21,2,2,12,1,1984,07,13,1
22,1,2,12,1,1984,09,07,1
23,1,2,22,1,1984,09,10,1
24,2,2,12,1,1984,09,20,1
25,2,2,51,1,1984,10,12,1
26,2,2,22,1,1984,10,30,1
27,1,5,48,1,1984,10,30,1
28,1,5,37,2,1984,11,02,1
29,1,2,12,1,1984,11,08,1
30,2,2,13,1,1984,12,12,1
31,1,2,22,1,1984,12,28,1
32,1,2,22,1,1985,01,04,1
33,2,2,13,1,1985,01,09,1
34,1,2,45,1,1985,01,11,1
35,1,5,48,1,1985,01,16,1
36,1,2,12,1,1985,01,30,1
37,2,2,13,1,1985,02,20,1
38,1,2,12,1,1985,03,06,1
39,1,5,48,1,1985,03,13,1
40,2,2,13,1,1985,03,20,1
41,2,2,51,1,1985,04,18,1
42,5,5,48,1,1985,05,15,1
43,2,2,12,1,1985,05,29,1
44,2,5,48,1,1985,06,25,1
45,2,2,51,1,1985,06,25,1
46,5,5,48,1,1985,07,09,1
47,1,5,48,1,1985,09,11,1
48,1,2,18,1,1985,10,16,1
49,1,5,32,1,1985,12,06,1
50,1,2,45,1,1986,01,10,1
51,1,5,48,1,1986,03,12,1
52,2,2,1,1,1986,03,21,1
53,2,2,12,1,1986,04,15,1
54,1,5,48,1,1986,04,16,1
55,2,2,12,1,1986,04,22,1
56,1,5,48,1,1986,05,15,1
57,1,2,12,1,1986,05,20,1
58,5,5,48,1,1986,06,09,1
59,1,5,48,1,1986,06,19,1
60,2,2,13,1,1986,06,24,1
61,2,2,51,1,1986,07,31,1
