,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
0,White,Hanging,Alabama,Male,1812,12,19,1
1,White,Firing Squad,Alabama,Male,1814,2,6,44
2,Black,Hanging,Alabama,Male,1820,5,19,13
3,Black,Hanging,Alabama,Male,1820,5,19,1
4,Black,Hanging,Alabama,Male,1822,5,30,1
5,White,Hanging,Alabama,Male,1822,10,11,39
6,White,Hanging,Alabama,Male,1822,11,15,1
7,Black,Hanging,Alabama,Male,1823,5,2,15
8,White,Hanging,Alabama,Male,1823,10,24,1
9,White,Hanging,Alabama,Male,1824,1,2,1
10,White,Hanging,Alabama,Male,1825,2,26,1
11,Black,Hanging,Alabama,Female,1825,6,10,1
13,White,Hanging,Alabama,Male,1827,10,5,1
14,White,Hanging,Alabama,Male,1827,11,30,1
15,Black,Hanging,Alabama,Male,1827,11,30,2
16,Black,Hanging,Alabama,Male,1830,5,15,1
17,White,Hanging,Alabama,Male,1832,1,27,1
20,Black,Hanging,Alabama,Male,1833,1,12,1
21,Black,Hanging,Alabama,Male,1833,1,12,1
23,Native American,Hanging,Alabama,Male,1834,12,12,1
24,White,Hanging,Alabama,Male,1834,5,30,1
25,Black,Hanging,Alabama,Male,1834,11,4,2
26,White,Hanging,Alabama,Male,1835,2,20,1
27,Black,Hanging,Alabama,Male,1835,2,20,1
28,Black,Hanging,Alabama,Male,1835,2,20,1
30,Black,Hanging,Alabama,Male,1835,2,25,1
32,Black,Hanging,Alabama,Male,1835,2,25,1
33,Native American,Hanging,Alabama,Male,1835,8,15,1
34,Black,Hanging,Alabama,Female,1836,1,9,1
39,Black,Hanging,Alabama,Male,1836,7,22,1
40,Native American,Hanging,Alabama,Male,1836,8,9,1
41,Native American,Hanging,Alabama,Male,1836,11,25,1
42,Native American,Hanging,Alabama,Male,1836,11,25,1
48,Black,Hanging,Alabama,Female,1836,12,20,40
57,White,Hanging,Alabama,Male,1839,6,21,15
58,Black,Hanging,Alabama,Male,1840,7,4,1
59,Black,Hanging,Alabama,Male,1840,7,4,1
60,Black,Hanging,Alabama,Male,1840,7,4,1
61,Black,Hanging,Alabama,Male,1839,1,5,1
68,Black,Hanging,Alabama,Male,1840,2,5,16
69,Black,Hanging,Alabama,Male,1840,2,5,1
71,White,Hanging,Alabama,Male,1840,12,11,1
81,White,Hanging,Alabama,Male,1841,11,26,1
84,White,Hanging,Alabama,Male,1842,1,3,1
85,White,Hanging,Alabama,Male,1842,2,1,1
105,Black,Hanging,Alabama,Male,1844,9,27,1
106,Black,Hanging,Alabama,Male,1844,9,27,1
110,White,Hanging,Alabama,Male,1845,12,5,1
117,Black,Hanging,Alabama,Male,1849,8,12,22
119,Black,Hanging,Alabama,Female,1849,12,11,1
123,Black,Hanging,Alabama,Male,1850,2,6,22
124,Black,Hanging,Alabama,Male,1850,5,11,1
125,Black,Hanging,Alabama,Male,1850,11,1,1
126,Black,Hanging,Alabama,Male,1850,11,1,1
127,Black,Hanging,Alabama,Male,1850,11,1,1
132,Black,Hanging,Alabama,Male,1851,5,10,1
133,Black,Hanging,Alabama,Male,1851,5,3,16
134,Black,Hanging,Alabama,Male,1851,5,2,1
135,Black,Hanging,Alabama,Male,1851,5,3,40
136,Black,Hanging,Alabama,Male,1851,5,23,1
137,Black,Hanging,Alabama,Male,1851,10,17,40
138,Black,Hanging,Alabama,Male,1851,10,24,22
142,Black,Hanging,Alabama,Male,1852,1,17,1
144,Black,Hanging,Alabama,Male,1851,10,31,40
152,Black,Hanging,Alabama,Male,1852,4,2,1
153,Black,Hanging,Alabama,Male,1852,4,2,1
157,White,Hanging,Alabama,Male,1852,9,3,1
158,Black,Hanging,Alabama,Male,1852,4,9,1
161,Black,Hanging,Alabama,Male,1853,6,17,1
163,Black,Hanging,Alabama,Male,1853,6,17,1
165,Black,Hanging,Alabama,Male,1854,1,23,40
171,Black,Hanging,Alabama,Male,1855,1,1,40
172,Black,Hanging,Alabama,Male,1855,1,18,40
173,Black,Hanging,Alabama,Male,1854,7,7,40
174,Black,Hanging,Alabama,Male,1854,11,25,40
175,Black,Hanging,Alabama,Male,1855,3,31,1
178,Black,Hanging,Alabama,Male,1855,11,17,1
179,Black,Hanging,Alabama,Male,1855,12,3,43
183,White,Hanging,Alabama,Male,1856,3,21,1
194,Native American,Hanging,Alabama,Male,1857,11,13,1
201,Black,Hanging,Alabama,Male,1857,12,23,1
202,White,Hanging,Alabama,Male,1858,3,5,1
204,Black,Hanging,Alabama,Male,1858,7,16,1
208,Black,Hanging,Alabama,Male,1858,9,17,1
209,Black,Hanging,Alabama,Male,1858,9,27,1
215,Black,Hanging,Alabama,Female,1859,11,25,1
216,Black,Hanging,Alabama,Male,1859,5,27,40
217,Black,Hanging,Alabama,Male,1859,5,27,1
219,Black,Hanging,Alabama,Male,1860,4,19,1
221,White,Hanging,Alabama,Male,1860,6,15,1
222,Black,Hanging,Alabama,Male,1860,7,13,1
223,Black,Hanging,Alabama,Female,1860,7,13,1
224,White,Hanging,Alabama,Male,1860,8,10,1
226,Black,Hanging,Alabama,Male,1860,10,19,8
227,Black,Hanging,Alabama,Male,1860,10,19,8
