,Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
0,1,1,1,1,1812,12,19,1
1,1,4,1,1,1814,2,6,44
2,2,1,1,1,1820,5,19,13
3,2,1,1,1,1820,5,19,1
4,2,1,1,1,1822,5,30,1
5,1,1,1,1,1822,10,11,39
6,1,1,1,1,1822,11,15,1
7,2,1,1,1,1823,5,2,15
8,1,1,1,1,1823,10,24,1
9,1,1,1,1,1824,1,2,1
10,1,1,1,1,1825,2,26,1
11,2,1,1,2,1825,6,10,1
13,1,1,1,1,1827,10,5,1
14,1,1,1,1,1827,11,30,1
15,2,1,1,1,1827,11,30,2
16,2,1,1,1,1830,5,15,1
17,1,1,1,1,1832,1,27,1
20,2,1,1,1,1833,1,12,1
21,2,1,1,1,1833,1,12,1
23,3,1,1,1,1834,12,12,1
24,1,1,1,1,1834,5,30,1
25,2,1,1,1,1834,11,4,2
26,1,1,1,1,1835,2,20,1
27,2,1,1,1,1835,2,20,1
28,2,1,1,1,1835,2,20,1
30,2,1,1,1,1835,2,25,1
32,2,1,1,1,1835,2,25,1
33,3,1,1,1,1835,8,15,1
34,2,1,1,2,1836,1,9,1
39,2,1,1,1,1836,7,22,1
40,3,1,1,1,1836,8,9,1
41,3,1,1,1,1836,11,25,1
42,3,1,1,1,1836,11,25,1
48,2,1,1,2,1836,12,20,40
57,1,1,1,1,1839,6,21,15
58,2,1,1,1,1840,7,4,1
59,2,1,1,1,1840,7,4,1
60,2,1,1,1,1840,7,4,1
61,2,1,1,1,1839,1,5,1
68,2,1,1,1,1840,2,5,16
69,2,1,1,1,1840,2,5,1
71,1,1,1,1,1840,12,11,1
81,1,1,1,1,1841,11,26,1
84,1,1,1,1,1842,1,3,1
85,1,1,1,1,1842,2,1,1
105,2,1,1,1,1844,9,27,1
106,2,1,1,1,1844,9,27,1
110,1,1,1,1,1845,12,5,1
117,2,1,1,1,1849,8,12,22
119,2,1,1,2,1849,12,11,1
123,2,1,1,1,1850,2,6,22
124,2,1,1,1,1850,5,11,1
125,2,1,1,1,1850,11,1,1
126,2,1,1,1,1850,11,1,1
127,2,1,1,1,1850,11,1,1
132,2,1,1,1,1851,5,10,1
133,2,1,1,1,1851,5,3,16
134,2,1,1,1,1851,5,2,1
135,2,1,1,1,1851,5,3,40
136,2,1,1,1,1851,5,23,1
137,2,1,1,1,1851,10,17,40
138,2,1,1,1,1851,10,24,22
142,2,1,1,1,1852,1,17,1
144,2,1,1,1,1851,10,31,40
152,2,1,1,1,1852,4,2,1
153,2,1,1,1,1852,4,2,1
157,1,1,1,1,1852,9,3,1
158,2,1,1,1,1852,4,9,1
161,2,1,1,1,1853,6,17,1
163,2,1,1,1,1853,6,17,1
165,2,1,1,1,1854,1,23,40
171,2,1,1,1,1855,1,1,40
172,2,1,1,1,1855,1,18,40
173,2,1,1,1,1854,7,7,40
